С 2012 года центр [MASK] также вопросом об освещении изменения климата .	занимается
Госкапитализм на определенном этапе развития стран [MASK] позитивную роль .	играет
В абсолютных размерах это [MASK] двойной спад объема ресурсов , которыми могло распоряжаться государство ( поскольку само производство снизилось вдвое ) .	означало
В прежние времена , отвечая на этот вопрос , наша пресса [MASK] акцент на военных расходах .	делала
В одной из своих работ известный российский экономист Е. Гайдар [MASK] любопытную закономерность : примерно в течение полутора веков между Россией и странами - лидерами Европы упорно сохраняется дистанция в 40 - 60 лет .	выявил
" Начав современный экономический рост на полстолетие позже , чем Западная Европа , в 80-х годах XIX века , - пишет автор расчетов , - Россия на протяжении почти полутора веков [MASK] сложившуюся дистанцию .	сохраняет
Сравнивая разные периоды , мы , тем не менее , [MASK] тенденцию развития .	видим
Они , если и [MASK] изменения , то , как видим , не в лучшую сторону .	претерпели
Начиная с 80-х годов прошлого века и по сегодняшний день правительства таких стран [MASK] огромные усилия , чтобы снизить темпы роста социальных расходов , уменьшить размеры социальных выплат , сократить круг лиц , получающих эти выплаты .	предпринимают
Картофельная пушка и другие ее легкомысленные собратья - реактивная машинка , настольный требушет и многое другое - [MASK] воедино хорошее знание физики , наличие свободного времени , желание его весело растранжирить и здоровое честолюбие в масштабах родной деревни .	объединяют
Эта скромная забава [MASK] целую субкультуру , энтузиасты непрерывно обмениваются идеями , как модернизировать свое оружие и оптимизировать состав горючего ( дезодорант Static Guard ! )	породила
Самая простая конструкция , которая обойдется вам в $ 25 , уже [MASK] дальность стрельбы 200 - 300 м " .	имеет
Для тех , кого эта дальность не устраивает , Сапрайз [MASK] пушки с длинными нарезными стволами и увеличенными камерами сгорания .	продает
Некоторые в качестве горючего [MASK] чистый пропан .	используют
Его появление не сильно [MASK] окружающих .	заинтересовало
Ведь 15 лет назад он [MASK] настоящий переворот в пылесосной области : благодаря ему пылесосить начали те , кто традиционно обходился услугами домработниц .	совершил
В тот же день , чтобы наконец приступить к соревнованиям , я [MASK] у своей тетушки пылесос " Урал " 1984 года выпуска .	отобрал
Когда я учился писать свои первые буквы , этот пылесос уже [MASK] ковры тетиной квартиры , и он пылесосит их до сих пор !	чистил
Джеймс Дайсон не зря так упорно [MASK] конструкцию своих прототипов .	совершенствовал
В целом же , что касается мощности , мы [MASK] такой вывод : сегодня особенно гнаться за ней нет смысла .	сделали
Редакционные испытания пылесоса " Урал " всегда [MASK] толпу любопытных .	собирали
После того , как два любимых женщинами пылесоса покидают ковер , некоторые прекрасные половинки [MASK] интерес к соревнованию , но тем не менее продолжают смотреть .	теряют
Воздушный шарик едва [MASK] такую нагрузку , и наконец у нас вылет .	выдерживает
Вероятно , в этот момент он [MASK] своих великих соотечественников - адмирала Нельсона , герцога Веллингтона , Уинстона Черчилля .	вспоминает
Красивые девушки уже [MASK] чемпиону сахарный песок - сегодняшняя альтернатива пыли .	несут
Так называемый неформальный саммит глав государств СНГ ( лицезрение лошадиных гонок , вкуснейший обед плюс доклад Назарбаева о реформе Содружества ) [MASK] весьма неполный кворум : треть дружественных правителей в Москву не приехала .	собрал
Сначала Путин и Назарбаев [MASK] назначенный на середину октября и долженствовавший собраться в Минске пятнадцатый юбилейный саммит глав Содружества , даже не спросив гостеприимного хозяина - президента Лукашенко .	отменили
Большинство наших независимых государств [MASK] чиновников не министерского ранга .	прислало
Сообщество бюрократов , кормящихся вокруг СНГ , [MASK] поточное изготовление таких бумаг и , видимо , потрясено перспективой крутого спада активности столь полезного им Содружества .	наладило
Но непосредственным мотивом переноса " большого " саммита [MASK] желание покарать Александра Лукашенко за его сентябрьские высказывания о неготовности России создать с Белоруссией союз равных , за его критику дороговизны российского газа , а главное , за общий непочтительный тон по отношению к Кремлю .	считают
Не оценив , видимо , гуманизма Москвы , минский президент [MASK] свои заветные мысли уже непосредственно перед приехавшими на заседание Совета министров иностранных дел : " Если хотим пойти нашим врагам навстречу , то мы должны пойти на так называемое реформирование СНГ " .	развил
Как ликвидационная комиссия Советского Союза СНГ [MASK] себя еще к середине 90-х , однако сохранилось после этого , превратившись в клуб , где ритуально ностальгируют по прошлому , а старший брат в обмен на изъявления лояльности раздает по дешевке газ и нефть .	исчерпало
И то , и то сильно [MASK] остальных собратьев по Содружеству , большинство из которых действительно сидит на трубе , но при этом за пятнадцать лет успело оценить и прелесть суверенитета .	раздражает
Вероятно , первым [MASK] привязные ремни в кабине своего самолета Адольф Пегу .	установил
Чуть позже вслед за Петром Нестеровым бесстрашный француз [MASK] " мертвую петлю " , тоже пользуясь ремнями безопасности .	совершил
А вот русский пилот , насколько нам известно , ремнями не [MASK] свое тело , что в конечном счете привело к гибели .	закреплял
В ходе Первой мировой Петр Нестеров [MASK] австрийский аэроплан , после чего его самолет сорвался в штопор и из него выбросило пилота .	протаранил
В начале 1950-х годов американский конструктор Кеннет Лигон и его брат Боб Лигон [MASK] быстросъемный ремень безопасности для автомобилей , который имел две точки крепления и обеспечивал фиксацию тела вокруг пояса .	запатентовали
Инерционный ремень постоянно аккуратно [MASK] пользователя , а при столкновении срабатывал фиксатор и заклинивал катушку .	поддерживал
Во избежание негативных последствий конструкторы [MASK] ремни , оснастив их преднатяжителями и ограничителями усилия .	доработали
Пиротехнические механические преднатяжители на старых автомобилях [MASK] свой встроенный механический датчик , следствием чего была некоторая доля вероятности , что преднатяжитель в нужный момент не сработает .	имели
Во избежание подобных ситуаций пиротехнические преднатяжители по аналогии с электрическими [MASK] управление от центрального компьютера SRS .	получили
Ограничитель усилия , ослабляя натяжение ремня , [MASK] перегрузки и обеспечивает щадящее воздействие систем пассивной безопасности на организм их владельца .	демпфирует
А чтобы окупить редакционные расходы на организацию чемпионата , мы [MASK] самый настоящий тотализатор .	устроили
В общем , американец самым первым [MASK] свой бункер рисом , причем , заметим , самый маленький бункер ( объемом всего около 150 см3 ) , а затем стал просто ездить , разбрасывая рис в стороны вращающейся щеточкой .	заполнил
Стены , мебель и другие препятствия [MASK] сигнал , который улавливается восемью микрофонами , расположенными двумя рядами непосредственно за поясом излучателя .	отражают
Девушки - зрители от умиления чуть не [MASK] слезу .	пустили
Во время каждого своего визита Sensor Cruiser [MASK] встроенные аккумуляторы .	подзаряжает
Все это и [MASK] нашему " Круизеру " медвежью услугу - " наевшись " в первую минуту риса , он не торопясь отправился на базу сдавать добычу , а потом решил постоять и подзарядить аккумулятор .	оказало
Хотя если бы мы ставили оценки за качество уборки , то он [MASK] бы последнее место .	занял
Мало того , большинству пылесосов - роботов хозяева [MASK] персональные ласковые имена .	дают
Впрочем , для начала академик Скулачев [MASK] апоптоз на внутриклеточном уровне .	изучил
Изучив этот процесс , Скулачев [MASK] его митоптозом .	назвал
Если в организме клеток гибнет больше , чем рождается , это и [MASK] старение .	означает
Почти одновременно с опытами Мерфи немецкие и французские ученые [MASK] открытие , которое Скулачева страшно вдохновило .	сделали
На встрече известных выпускников МГУ , которые проводятся по инициативе ректора МГУ В. Садовничего , Виханский [MASK] Скулачева с Дерипаской .	свел
Ученые сразу же [MASK] вещество - тот самый антиоксидант , который они подсмотрели в природе , прицепили его к молекуле - " электровозу " и стали испытывать сначала на клетках , потом на животных .	синтезировали
Уже первые опыты на крысах , которые проводились коллегами Скулачева в новосибирском Институте цитологии и генетики , [MASK] интересные результаты .	дали
В этом институте завлаб Наталья Колосова [MASK] так называемую прогерию - ускоренное старение .	исследует
В ходе операции [MASK] смертельные ранения пять сотрудников ФСБ .	получили
Да , руководитель организации " Спасем поколение " [MASK] квартиру в том самом доме 141 по улице Богдана Хмельницкого , в котором 15 апреля 2005 года была проведена спецоперация .	снимал
Но вот Общество российско - чеченской дружбы [MASK] собственное расследование .	провело
Неужели они не [MASK] эту , неофициальную версию исчезновения и гибели Мурадова , в корне отличающуюся от версии ФСБ ?	услышали
В организации " Спасем поколение " корреспондентам НТВ [MASK] документы , полученные из официальных чеченских структур .	показали
А если знали , то почему [MASK] в передаче заведомую ложь , опровергаемую официальными документами ?	показали
Его сестра даже не [MASK] заявление в прокуратуру .	подала
Иллюстрируя историю Элины Эрсеноевой , внештатной сотрудницы газеты " Чеченское общество " , которую некоторые источники называют одной из жен Шамиля Басаева и которая была похищена в августе этого года , авторы программы " ЧП " [MASK] интервью ее матери Маргариты .	показали
Строго говоря , [MASK] их не всегда из олова , да и сейчас в чистом виде этот металл используют редко - обычно речь идет о его сплавах .	делали
" Оловянная чума " [MASK] многие ценнейшие коллекции солдатиков .	погубила
Сегодня в мире десятки фирм [MASK] солдатиков из пластмассы , а вот оловянная миниатюра постепенно стала высоким искусством и предметом вожделения коллекционеров - массово ее теперь почти не производят .	делают
Разве что первым этапом на модель [MASK] слой этого материала толщиной 1 - 2 мм , а уж потом готовят для всего получившегося " кокона " гипсовые корки по описанной выше технологии .	намазывают
Шестилетней давности улыбка , сопровождавшая президентское сообщение о том , что " она утонула " , некоторое время [MASK] повод полагать , что она довольно дорого обойдется Путину .	давала
Текст насчет Политковской поначалу тоже [MASK] привычный соблазн проанализировать его с той же точки зрения .	пробуждал
Конечно , сказанное в такой форме чрезвычайно [MASK] либеральную интеллигенцию , однако арифметика говорит о том , что эта потеря совсем невелика по сравнению с теми приобретениями , которые непременно обнаружатся в других , куда более широких народных слоях .	обидело
Однако анализ выпавших примерно на те же сроки совпадений [MASK] совсем другое подозрение .	порождает
Хотя бы формально [MASK] уголовную линию обычной , в общем - то , поножовщины , не особенно фокусируя внимание на национальном составе его участников , а уж потом провести никого и ни к чему не обязывающие проповеди о необходимости межнационального согласия .	выдержать
" Газпром " , то есть , можно сказать , само великое государство , [MASK] себя поистине ограбленным , и в этом месте не надо улыбаться .	почувствовал
В общем , Митволь [MASK] явственные признаки надвигающейся катастрофы .	обнаружил
Экологическая катастрофа счастливо [MASK] Сахалин стороной .	обошла
Даже с ЮКОСом и Ходорковским она [MASK] пропагандистские тезисы на тему ответственности олигархов перед народом .	сочиняла
С этим багажом знаний они волею судеб [MASK] страну - как в другой ситуации могли бы заполучить какой-нибудь нефтеперерабатывающий заводик .	заполучили
Но низкая цена [MASK] проекторам и плохую услугу : если раньше , при цене в $ 10000 , вы могли долго сидеть в шоу-руме , придирчиво выбирать , просматривать любимые DVD - диски и получать удовольствие от общения с обаятельным консультантом , то сейчас за пару тысяч долларов продавец разве что выпишет вам чек .	оказала
Epson EMP - TWD1 ( $ 1700 ) [MASK] новую группу проекторов - комбайнов - в одном корпусе расположился собственно 3LCD - проектор , DVD - плеер и акустическая стереосистема .	представлял
Для полноценного теста мы [MASK] проектор как по цифровому интерфейсу HDMI , так и по аналоговому компонентному кабелю .	подключили
К тому же Epson [MASK] большее разрешение , чем ScreenPlay , а стоит на тысячу долларов дешевле .	имеет
Хотя любой из трех проекторов [MASK] на лопатки любой телевизор за эту цену .	положит
В зависимости от душевного состояния народа , у которого депрессивные периоды чередуются с маниакальными , российский правитель [MASK] сеемый им страх .	дозирует
Поскольку для широких народных масс эти и без того чуждые им люди ( прав нет , нечего и защищать ) [MASK] последнюю легитимность , к тому же попали в списки " врагов России " нелегитимных в ту пору фашистов .	потеряли
Потому что нынешний октябрь [MASK] новую революцию .	принес
Став внутренне былинным героем , [MASK] одобрительные взгляды милиции на улице и государственных мужей в телевизоре .	замечаешь
Днями раньше власть [MASK] важную психологическую грань .	перешла
Пару лет назад " Московский комсомолец " [MASK] эксперимент : они дали двусмысленное объявление типа " требуется человек с собственным инструментом " .	провел
Если судить по телерепортажам и словам буйных телекомментаторов , Россия вот-вот [MASK] Приднестровье .	присоединит
" Единая Россия " вот-вот [MASK] себя КПСС , но тут появляется " Родина пенсионеров жизни " ( это название вполне соответствует заявленным намерениям сохранить в новой партии названия прежних образований ) , которая еще неизвестно кем поддерживается и для чего создана .	объявит
Ужели усилиями творческой молодежи система [MASK] язык и ясное толкование ?	обретает
Причем в отличие от джойстика или руля с Force Feedback , которые представляют собой всего лишь вибрирующий предмет в руках пользователя , ButtKicker [MASK] ощущение сотрясения всего окружающего пространства .	создает
Кости человека , в частности череп , отлично [MASK] звуковые колебания , особенно низкочастотные .	передают
Набор ButtKicker LFE Kit [MASK] все необходимое для дополнения домашнего кинотеатра бесшумным сабвуфером .	включает
Для испытания LFE Kit мы [MASK] набор быстрой установки , входящий в комплект .	использовали
В то время как ButtKicker LFE предназначен для крепления к большому креслу , дивану или даже полу , струбцина ButtKicker Gamer [MASK] его на штоке газового амортизатора обычного офисного кресла .	закрепляет
При всем этом просмотр кино и компьютерные игры с ButtKicker [MASK] нам большое удовольствие .	доставили
В " Ил - 2 Штурмовик " мы [MASK] сотрясения фюзеляжа от каждой вражеской пули .	ощущали
Просмотр концертных DVD с ButtKicker отчасти [MASK] заряженную концертную атмосферу и делает зрелище захватывающим .	воссоздает
Среди аудиофилов вопрос о способности ButtKicker детально воспроизводить музыку [MASK] споры .	вызывает
Если же под сиденьем взрывается бомба , а из колонок раздается жалобный щелчок , слушатель сразу [MASK] подвох .	чувствует
Ни один поезд , соблюдающий график , не [MASK] другой , не будет мешать остальным и ждать своей очереди на проезд .	догонит
Красный , как и на автомобиле , [MASK] движение .	запрещает
По их сигналам машинист [MASK] маневры на малой скорости .	выполняет
Машинист специальной маневровой бригады [MASK] поезд в тупик и покидает рабочее место .	заводит
Убедившись , что съемная реверсивная рукоятка на месте и повернута в положение " вперед " , [MASK] ручку контроллера в нулевое положение - это посередине , между " ходом " и " тормозом " .	ставим
Если после отправления не предвидится ограничений скорости , [MASK] контроллер вперед до упора .	перемещаем
Прогревание двигателя на холостом ходу лишь [MASK] его ресурс и топливо впустую .	расходует
Интеллектуальная система впрыска автоматически [MASK] состав смеси , сделав его оптимальным для данной температуры , а современное масло , сохраняющее свои свойства даже на морозе , обеспечит нормальную смазку и охлаждение .	отрегулирует
Заводя мотор в холодную погоду , [MASK] газ в пол .	утопи
Современные системы впрыска топлива автоматически [MASK] состав смеси в соответствии с температурой воздуха .	подстраивают
Если в инструкции к автомобилю нет соответствующих рекомендаций , то вы просто напрасно [MASK] деньги .	тратите
95-й бензин , предназначенный для вашего автомобиля , уже [MASK] необходимые присадки , поэтому никакого дополнительного профилактического действия заправка 98-м не оказывает .	содержит
Когда оставляешь машину надолго , [MASK] аккумулятор .	отключай
Даже когда автомобиль стоит в гараже без движения , он все равно [MASK] некоторое количество энергии : не дремлет сигнализация , часы , память бортового компьютера .	потребляет
Наконец , вода [MASK] тепло от двигателя намного лучше , чем гликоль .	отводит
Современные суперэкономичные гибридные автомобили [MASK] мотор на каждом светофоре .	выключают
Когда всесезонные шины только начали появляться в продаже , производители [MASK] море времени и денег , чтобы убедить всех в их исключительных способностях как на летних , так и на зимних трассах .	тратили
Растворители на бензиновой и ацетоновой основе [MASK] резину , а силикон пока не слишком распространен .	разъедают
Периодическое протирание щеток действительно [MASK] с них грязь , однако со временем они разрушаются , в том числе под воздействием солнца и перепадов температур .	удаляет
Чтобы улов не портился , рыбаки [MASK] только что пойманную рыбу на лед , а арктический ветер за несколько минут замораживал ее .	выкладывали
В 1922 году он [MASK] собственную компанию Birdseye Seafoods , которая пыталась торговать свежеморожеными морепродуктами .	учредил
В 1929 году Бердсай с большой прибылью [MASK] компанию , оставшись главой исследовательского отдела .	продал
В 1934 году компания [MASK] активное участие в расширении розничной торговли , предложив магазинам недорогие охлаждаемые витрины , а в 1944-м впервые использовала вагоны - рефрижераторы для перевозок на большие расстояния .	приняла
Благодаря встроенной электронной плате он [MASK] звук отсечки ( проще говоря , характерное пыхтение ) , скрип тормозов и другие звуки .	воспроизводит
На каждой из них целый штат сотрудников [MASK] старые фотографии и чертежи локомотивов и вагонов .	разыскивает
Из ГДР к нам [MASK] простые стартовые наборы .	привозили
Но самые разборчивые моделисты [MASK] из подручных материалов буквально все : от рельсов до сложнейших деталей паровоза .	делали
Например , в московском Дворце пионеров до сих пор [MASK] секцию железнодорожного моделизма Карл Прохазка , чех по происхождению .	ведет
Под его руководством советские пионеры вручную [MASK] на токарном станке колеса из металлических болванок и отливали из пластмассы сложные детали составов .	вытачивали
В Курске и Белгороде [MASK] небольшие партии миниатюрных локомотивов .	выпустили
А где вы [MASK] отечественный полустанок без грязи и мусора ?	видели
Уважающие себя моделисты [MASK] также " заржавливание " фабричных рельсов .	практикуют
В личных разговорах банкиры , не стесняясь в выражениях , [MASK] ситуацию просто : " Денег нет !	обрисовывают
Но ипотечный кризис в США [MASK] заграничные банки быть осторожными .	заставил
Осенью Россия уже [MASK] микрокризис ликвидности ( проще говоря , нехватку свободных денег ) .	пережила
- С этого года мы [MASK] НДС поквартально , и время расплаты наступит в апреле , - комментирует Николай ПОДГУЗОВ , эксперт Группы " Ренессанс Капитал " .	платим
После осенних проблем с ликвидностью банки [MASK] ставки по потребительским кредитам .	подняли
Для этого они [MASK] их утомительными психологическими тестами .	мучают
На Западе лицензия на право работы с тем или иным тестом [MASK] десятки , а то и сотни тысяч долларов .	стоит
К нашим реалиям [MASK] примерно пятую часть тестов из арсенала зарубежных психологов .	адаптировали
Правда , покупателям [MASK] кота в мешке .	всучили
Например , при собеседованиях часто [MASK] тест Люшера .	используют
К тому же МЛО [MASK] врачебную тайну , поскольку предназначен для выявления серьезных психических отклонений .	нарушает
" Опросник " [MASK] не личностные качества испытуемых , а их характеры .	оценивает
Согласно официальным сообщениям , президент [MASK] в Кремле председателя Союза журналистов Всеволода Богданова .	принял
А может быть , они не [MASK] судьбу Юрия Петровича ?	помнят
Госдума так и не [MASK] этот документ .	приняла
В 2002 - 2003 годах Юрий Щекочихин [MASK] анонимные звонки с угрозами - как в свой адрес , так и в адрес своего сына .	получал
Сыну Юрия Щекочихина [MASK] охрану .	выделили
Если в ее статьях есть неправда - [MASK] иск за клевету , при полной гласности процесса .	подать
А если там все правда , то [MASK] расследование по тем фигурантам , о которых пишет Морарь .	начать
Благоприятная внешняя конъюнктура [MASK] нам выпадающий , возможно , один раз в истории шанс на безболезненную модернизацию страны .	дала
Эксперт Горбачев - Фонда Андрей Рябов в интервью " Итогам " [MASK] нынешнюю ситуацию с кризисом 1998 года , выделяя два существенных отличия .	сравнивает
Среди экспертов далеко не все [MASK] пессимистичный взгляд на то , как кризис изменит страну .	разделяют
Директор Центра трудовых исследований ГУ-ВШЭ Владимир Гимпельсон даже примерно [MASK] цену вопроса : " Кризис слизнет примерно треть зарплаты россиян " .	подсчитал
Судя по всему , ничего хорошего не [MASK] также сельское хозяйство и бюджетную сферу : " бедные станут еще беднее " .	ждет
К среднему классу Гонтмахер [MASK] , правда , весьма обеспеченных по российским меркам людей : топ-менеджмент крупных компаний , высокопоставленных чиновников , высокооплачиваемых представителей свободных профессий .	относит
В любом случае обострение кризиса [MASK] неизбежным рост социальной напряженности , которая может вылиться в уличные протесты .	делает
Однако сама власть категорически [MASK] возможность такого развития событий .	отвергает
Глава Минэкономразвития Эльвира Набиуллина вообще [MASK] это заявление как укор себе .	восприняла
- Мы только [MASK] маховик экономического роста , и важно его не охладить , в том числе разговорами о перегреве экономики , - заявила она .	запустили
Впрочем , успехи первых двух частей [MASK] продюсеров , что доверять можно и Джексону , и новозеландской студии Weta , которая занималась спецэффектами для всего проекта .	убедили
Время от времени гримеры [MASK] на лица актеров Элайи Вуда и Шона Остина оттенок , соответствующий цвету земли , по которой они проходили .	добавляли
В фильме " Две крепости " Серкис [MASK] роль трижды : сначала вместе с актерами на съемочной площадке , затем в одиночестве перед камерами motion capture , одетый в специальный костюм с датчиками , передававшими в компьютер все его движения .	играл
В третий раз Энди [MASK] свою роль при озвучивании .	повторял
По рисункам художника Алана Ли в [MASK] Workshop построили макет города в масштабе 1 : 72 .	Weta
Шесть каскадеров под руководством дрессировщика [MASK] лошадей идти галопом , рысью и иноходью - не заставляли только падать .	заставляли
Далее аниматоры Weta [MASK] компьютерные модели лошадей и всадников , при этом обращая особое внимание на такие детали , как гривы , хвосты и одежда .	создавали
Аниматоры Weta сначала [MASK] со всех сторон статиста в соответствующем пугающем гриме , после чего на основе получившегося изображения создали скульптурную модель , сделав акцент на кости черепа .	снимали
Во всех интервью , посвященных фильму , он [MASK] магическую фразу : главное в работе над " Властелином колец " - не " hardware " , а " heartware " , от слова " сердце " .	повторяет
Сайт Вести.Ru до 20 часов по московскому времени [MASK] прямую трансляцию из Европейского центра ядерных исследований ( на английском языке без перевода ) .	ведет
Телеканал " Вести " [MASK] в своем эфире самые интересные моменты этой трансляции .	показывает
Тысячи датчиков будут [MASK] моменты столкновения , что позволит исследователям глубже проникнуть в тайны материи .	фиксировать
Пикадор на лошади , прикрытой попоной от бычьего гнева , [MASK] быку холку : нужно спустить кровь , иначе может разорваться сердце .	протыкает
Счастливый победитель гордо [MASK] арену по кругу ; восторженные дамы бросают ему платки , сумочки , майки .	обходит
Но если точка смерти не была задета , если быка пришлось добивать и он лишился великого права умереть по-человечески , тореадор [MASK] лишь сухие аплодисменты .	получит
Ты что , впадаешь в детство ? " - [MASK] меня прилетевший на выходные родственник с Урала , увидев надпись LEGO на коробке .	спросил
Но уже через час он , бывший инженер - конструктор горных машин завода " Уралтрансмаш " , вместе со мной увлеченно [MASK] из деталей набора первую гусеничную машину : так " Популярная механика " решила опровергнуть мнение о том , что конструкторы LEGO - это детские игрушки .	собирал
Программное обеспечение RIS 2.0 [MASK] на нас самое благоприятное впечатление .	произвело
Самым ленивым RIS [MASK] примеры программ для многих механизмов .	предлагает
При повторном считывании карточки программа [MASK] " сейф " .	закрывает
Но все же , скорее всего , первые несколько вечеров гордый отец будет [MASK] его сам ( возможно , вместе с коллегами ) …	собирать
В прошлом году весь мир [MASK] " величайшее противостояние " , во время которого Марс оказался в самой ближней к Земле точке за последние 23 тысячи лет .	наблюдал
И американцы , и европейцы [MASK] к Красной планете исследовательские аппараты .	направили
