Здесь [MASK] несколько десятков видов птиц .	обитает
Куда , [MASK] мы , но никто не знал .	спрашивали
За спиной где-то в спальне [MASK] ребенок и , извинившись , она побежала туда .	заплакал
[MASK] недели , и постепенно мы перестали о ней думать .	Шли
На этаже [MASK] ремонт , за столом в приемной я нашла испуганную замерзшую секретаршу , у которой от холода покраснел нос .	шел
[MASK] два месяца , шла весна , и вдруг я опять увидела Елену Васильевну .	Прошло
[MASK] в нем те же люди , что и в ресторане , только теперь тут появились очереди , кофе стал плохой , бефстроганов жесткий …	Работали
- [MASK] вы были ?	Где
- Елена Васильевна , а почему у вас не [MASK] работы , ведь вы преподавали у нас ?	было
С преподавателями у нас всегда [MASK] дистанция - вы им выкладываете всю подноготную , они слушают , хвалят и уходят - такие же непроницаемые и уже ненужные .	остается
[MASK] пара недель , я брела вдоль реки .	Прошла
На звук наших голосов из спальни [MASK] Алина Петровна .	вышла
[MASK] за ним какие-то бурные романы .	Числились
- [MASK] же это был ?	Кто
На ветвях пальм [MASK] какие-то невиданной красоты птицы и пели поистине райскими голосами .	сидели
Всюду [MASK] смех детей и влюбленных .	слышался
Навстречу нам так же легко , как мы , [MASK] молодые и румяные парни и девушки с одухотворенными лицами .	летели
В небе [MASK] длинный голубой транспарант , на котором было написано :	парил
- И что же , у вас не [MASK] смены времен года ?	бывает
У [MASK] всегда день и всегда лето .	нас
Среди встречавшихся нам [MASK] было много людей , которых я знал по прежней своей жизни и даже при мне еще умерших .	прохожих
А еще всякие там [MASK] и овощи , диковинные и недиковинные , всякие апельсины , мандарины , артишоки , авокадо , бананы и ананасы .	фрукты
- Да [MASK] ты подбирать с полу ! - услышал я знакомый насмешливый голос .	брось
А рядом с ним , прижимаясь к нему , [MASK] Жанета во всем прозрачном .	стояла
- А [MASK] Лео ? - спросил я ее .	где
- А [MASK] он , - сказала она , и я увидел Лео , который на лавочке целовался с моей женой .	вон
Тут ко мне [MASK] Смерчев и сказал шепотом : - Классик Классикович , вы напрасно ведете себя как отсталый собственник .	наклонился
У нас здесь [MASK] собственности ни у кого ни на что .	нет
- [MASK] только Гениалиссимус , один Гениалиссимус , и никого , кроме Гениалиссимуса .	Есть
- [MASK] ты со своим Гениалиссимусом ! - сказал я , пытаясь сдвинуть его со своего пути .	Пошел
Почему , когда мне снится родина , со мной на ней [MASK] всегда что-то нехорошее , неприятное , от чего я хочу бежать и просыпаюсь в поту ?	происходит
Прямо через дорогу от Маркса , в скверике у Большого театра , [MASK] во весь рост другой бородач в военной форме и с перчатками в руках , это был , конечно , Гениалиссимус .	стоял
По проспекту Маркса , окутанные клубами дыма и пара , [MASK] разных размеров машины , а по тротуарам плыла толпа людей в укороченных военных одеждах .	катили
На полу [MASK] уроненная ею книга .	валялась
[MASK] этого сочинения был сам Гениалиссимус .	Автором
Во дворе змеей [MASK] длинная очередь к темно-зеленому киоску , и военные обоего пола , в основном нижние чины , дышали друг другу в затылки , держа в руках пластмассовые бидончики , старые кастрюли и ночные горшки .	вилась
В ушах у нее [MASK] большие пластмассовые кольца .	висели
- Да [MASK] вы , граждане ! - закричал я громко .	что
- При [MASK] тут БЕЗО и зачем БЕЗО ?	чем
Ну не [MASK] я в вашей жизни чего-то , так я же в этом не виноват .	понимаю
У меня даже [MASK] идея вернуться к месту приемки продукта вторичного , разыскать ту мерзкую тетку , которая понимает по-иностранному , притащить сюда и показать ей , на кого она нападала со своими идиотскими подозрениями .	возникла
Тем более что меня [MASK] новые впечатления .	ожидали
[MASK] только ГУМ , Исторический музей , Лобное место , статуя Гениалиссимуса и Спасская башня .	Есть
Тут же , обгоняя прохожих , [MASK] дети школьного возраста .	бежали
За [MASK] у них были ранцы , а в руках метелки , которыми они дружно махали , поднимая такую пыль , что дышать было нечем .	плечами
На [MASK] дворники есть .	то
Из других представителей предварительной литературы все-таки [MASK] Гоголь , Лермонтов , Грибоедов , Толстой , Достоевский и всякие другие из более поздних времен .	выделялись
И долго буду тем [MASK] я народу , Что чувства добрые я лирой пробуждал , Что в мой жестокий век восславил я свободу И милость к падшим призывал .	любезен
В это время на площади [MASK] большой красный паробус .	остановился
Из него [MASK] целая орда мальчиков и девочек во главе с женщиной с погонами лейтенанта .	вывалила
- Итак , дети , - сказала учительница , - перед [MASK] памятник нашему любимому вождю , учителю , отцу всех детей и другу всего прогрессивного человечества Гениалиссимусу .	вами
Семенова , из скольких томов [MASK] собрание сочинений Гениалиссимуса ?	состоит
Вчера [MASK] еще два новых тома .	вышли
В этом доме , между прочим , когда-то [MASK] пивная , а потом кафе - молочная , и сейчас в нем , кажется , находилось что-то подобное .	была
На противоположной от входа стене [MASK] большой портрет Гениалиссимуса и его изречение : " Мы живем не для того , чтобы есть , а едим для того , чтобы жить " .	висел
Вдоль левой стены , за легкой перегородкой из пластмассовых трубок [MASK] длинный прилавок с выставленными на нем блюдами , при одном только виде которых хотелось сразу выйти на свежий воздух .	тянулся
Однако , повторяю , мною [MASK] не только голод , но и исследовательское любопытство .	руководил
- А [MASK] - ка ты в ж … ! - сказал я , не выдержав , и перешел на другую сторону .	иди
Возможно , [MASK] всему мое мировоззрение .	виной
Но при [MASK] тут лошадь и меч ?	чем
[MASK] точно девять часов сорок две минуты утра .	Было
На уровне второго этажа [MASK] плакат , изображавший рабочего с поднятым вверх кулаком .	висел
[MASK] дикие люди !	Вот
Здесь , так же как и в прекомпите , [MASK] дядя с повязкой на рукаве и с компостером .	стоял
С каждой стороны на равном расстоянии [MASK] бежевые двери кабинетов , а слева от входа , сразу за выщербленной лестницей , была деревянная загородка и стеклянное окошечко с надписью : РЕГИСТРАТУРА .	располагались
Навстречу мне , неся кучу канцелярских папок , [MASK] девица в белом халатике , едва прикрывавшем ее орудие производства .	шла
В углу [MASK] узкий топчан , покрытый клеенкой , а рядом пластмассовое ведерко .	стоял
Над изголовьем в рамке [MASK] портрет Гениалиссимуса со слегка распахнутой волосатой грудью , а под портретом изречение Гениалиссимуса : ЛЮБОВЬ - ЭТО БУРНОЕ МОРЕ !	висел
- Что [MASK] " что " ? - сказала она строго .	значит
- Ну [MASK] это кого , - сказал я .	как
- [MASK] он ! !	Вот
[MASK] он ! - услышал я дикий вопль и увидел ворвавшуюся в заведение тетку , которая понимала по-иностранному .	Вот
За спиной ее [MASK] два милиционера .	маячили
- [MASK] он !	Вот
[MASK] он ! - кричала тетка .	Вот
У вас потребкарта есть ? - [MASK] он , обратившись ко мне .	спросил
У [MASK] за деревянной перегородкой было три звездочки на погонах .	дежурного
Но тут в дело [MASK] доминошники .	вступили
Рядом с ним [MASK] от страха Тимчук , который сразу же стал маленьким и плюгавым .	трясся
Как [MASK] мама .	пахла
- А как же вас [MASK] дежурная ?	выпустила
- Вот до чего [MASK] потеря бдительности !	доходит
В [MASK] - то и дело , что я там ничего не делал .	том
- Не [MASK] я никаких юбилеев .	хочу
- Но все-таки вам [MASK] именно сто лет .	исполняется
У меня [MASK] возникнуть всякие такие … как бы сказать … побуждения и … в общем - то , я за себя не ручаюсь .	могут
Понятно , мне сразу [MASK] дурацкий мой сон , в котором Смерчев называл киской мою жену .	припомнился
Потому что во мне еще глубоко [MASK] всякие социалистическо - капиталистические предрассудки , что перед этим делом надо как-нибудь разогреться .	сидели
- А [MASK] это у тебя ? - спросила Искра .	что
В [MASK] у меня был кусок туалетного мыла " Нивея " .	руке
- Мне [MASK] , она чем-то смущена .	показалось
- Так [MASK] моя мама ! - тихо сказала она и застенчиво улыбнулась .	пахла
В приемной его с утра [MASK] посетители , - кое-кто с важными делами , а кое-кто и с такими , которые легко можно было решить в нижестоящих инстанциях , не затрудняя Семена Еремеевича .	ожидали
У двери [MASK] стол секретарши , на столе - пишущая машинка с широкой кареткой .	стоял
В углу [MASK] репродуктор и играло радио для развлечения ожидающих и еще для того , чтобы заглушать голос начальника , доносившийся из кабинета , так как , бесспорно , среди посетителей могли находиться и случайные люди .	висел
В глубине [MASK] широкий письменный стол с бронзовыми чернильницами и перед ним два кожаных кресла .	стоял
Справа [MASK] стол для заседаний - длинный , накрытый зеленым сукном и с обеих сторон аккуратно заставленный стульями .	был
Ровно в десять часов [MASK] короткий звонок .	раздался
У него [MASK] полное симпатичное лицо некурящего человека и белые , совершенно седые волосы .	было
Перед ним [MASK] копия жалобы жителей села Веселого на плохую работу трансляционной сети .	лежала
Оттуда и [MASK] эта копия и вместе с ней распоряжение , в котором предлагалось немедленно ликвидировать перебои , наказать виновных и доложить об исполнении к такому-то числу .	пришла
Конечно , в этом [MASK] ничего удивительного , и каждому , кто работает на более или менее ответственной должности , понятно , как рассеивается внимание , когда в кабинете находятся посторонние люди .	нет
- [MASK] ваша фамилия ?	Как
- [MASK] она какая-то , бесхарактерная .	Слабовольная
- А [MASK] она по бытовой линии ? - спросил Семен Еремеевич .	как
Формально , конечно , для зачисления Ефимовой не [MASK] препятствий , но если взглянуть на вопрос поглубже - анкета все-таки не чистая .	было
[MASK] , например , ревизия , поднимет личные дела - вот и неприятность .	Приедет
А [MASK] еще эта .	тут
Как у вас с семейным положением ? - [MASK] начальник .	спросил
- И [MASK] это село ?	далеко
- А [MASK] где-нибудь поближе ?	нельзя
А может , [MASK] место где-нибудь поближе ?	появится
- В Веселом очень [MASK] линейный инженер .	нужен
Значит , у вас [MASK] вакансии .	были
- Да [MASK] вы , при чем тут оккупация ?	что
Очень [MASK] было время …	тяжелое
- Какая из [MASK] партизанка !	вас
[MASK] указание , что человека с высшим образованием не имеют права держать на рядовой работе .	Есть
Если [MASK] места " .	останутся
От автобусной [MASK] километра три , не больше .	станции
А по утрам к нам будет [MASK] девушка , дальняя родственница соседей .	приходить
- [MASK] где ?	Как
- Ах [MASK] что …	вот
[MASK] она сейчас ?	Где
В [MASK] Ефимовой не было .	списках
Может быть , ему [MASK] давний случай с женщиной , которую долго не принимали на работу , потому что муж ее оказался замешанным в какую-то непонятную историю и был арестован .	вспомнился
На руках его , так же , как и в прошлом году , когда приезжали представители главка , [MASK] красные пятнышки .	появились
[MASK] темный сентябрьский вечер .	Был
У стен [MASK] бечевки , по которым когда-то вился хмель .	болтались
Вокруг крыльца летом густо [MASK] крапива , и теперь желтоватые , поблекшие прутья ее пробивались между ступенями .	росла
Долго [MASK] так Семен Еремеевич один на пустынной улице , на ветру и на холоде , размышляя о том , сколько мелких случайностей мешают нормальной работе , как трудно руководить большим коллективом и как много выдержки требуется от руководителя .	стоял
Кстати , до [MASK] Веселого не сто , а семьдесят два километра .	села
Там пол года [MASK] линейного инженера .	нет
У [MASK] там полный беспорядок , а вы … а вы только бумажки читаете .	вас
Для прицеливания в плоскости цели в конструкции [MASK] встроенный лазерный целеуказатель , пятно которого уверенно наблюдается в солнечный день на максимальной дистанции выстрела .	имеется
[MASK] использование нескольких типов зарядов , которые обеспечивают широкий спектр задач в зависимости от боевой обстановки .	Возможно
В боекомплекте [MASK] основные заряды " Клещ - 20 " , " Сеть - 12 " , " Сеть - 12Х " и некоторые другие заряды специального назначения .	имеются
В [MASK] такой специальной сетки не только традиционные спирали проволоки , но и самозатягивающиеся петли , которые крепко удерживают наступившего на них противника .	конструкции
Кроме того , в боекомплекте [MASK] выстрелы типа " Сеть - 12Х " , которые дополнительно обрабатывают цель слезоточивым веществом , что затрудняет ведение противником активных боевых действий .	имеются
В боекомплекте [MASK] дополнительный заряд " Сеть - 12 - 4 " , который разбрасывает не одну большую сеть , а одновременно несколько сетей меньшего размера .	имеется
В таком варианте использования , безусловно , [MASK] также применение дополнительных элементов крепления комплекса на броне или кузове автомобиля .	необходимо
Первыми [MASK] немцев разведчики .	увидели
Из нескошенного , засыпанного снегом пшеничного поля [MASK] подыматься головы .	стали
И на этом осветившемся небе хорошо и крупно [MASK] видны с земли приближающиеся немцы .	стали
На гусенице его [MASK] на корточках тракторист Никитенко в черных от солярки и масла подшитых валенках .	сидел
У радиатора [MASK] руки солдат , беспокойно оглядываясь .	грел
[MASK] он тут по той самой причине , по какой во время боя обязательно кто-нибудь окажется возле кухни .	Оказался
- Это [MASK] немец с русским : чья техника сильней ?	заспорили
" Теперь , говорит , [MASK] ты мою " .	погаси
Медленно , с усилием [MASK] огромное , облепленное снегом колесо пушки .	поворачивается
И [MASK] воздуха ! . .	нет
И сейчас же по станине со звоном [MASK] железный горох .	сыпанул
Но [MASK] сверху трассирующими пулемет , и люди отхлынули за пушку , не слыша , что кричит им командир батареи .	ударил
Наверху , надрываясь , [MASK] трактор , дрожал натянутый трос , и пушка еле-еле ползла вверх , гребла снег колесами .	рокотал
Опять [MASK] сверху пулемет .	ударил
Снизу , хмурясь , с прутиком в руке [MASK] Ушаков .	шел
И на него неприятно [MASK] то , что именно здесь немецкие танки настигли дивизион .	подействовало
Это в хлебах безостановочно [MASK] два пулемета , и множество автоматов светящимися нитями прошивали ночь .	работали
С остановившегося , смутно маячившего бронетранспортера [MASK] в пшеницу немцы , рассыпались по ней , стреляя из автоматов .	прыгали
Нескольких над землей [MASK] короткие очереди .	срезали
Там , где , невидимые отсюда , лежали разведчики , [MASK] над землей что-то темное и быстрое .	мелькнуло
Низко по гребню , задымив снежком , [MASK] пулеметная очередь .	резанула
До [MASK] метров десять открытого места .	лощинки
[MASK] запоздалая очередь .	Хлестнула
Пулей [MASK] по нему солдат и скрылся .	проскочил
- Начальник штаба сказал : абэспэчу отход ! яростно сверкая глазами , [MASK] Баградзе .	кричал
[MASK] , повиснув , вой мины .	Оборвался
В левой [MASK] - маленький при его огромном росте ручной пулемет .	руке
Голос его [MASK] разрыв мины .	заглушил
[MASK] вдруг смолкать ружейная и автоматная стрельба , становилось тихо , и вскоре только железное лязганье и рычание властвовали над полем .	Стала
От его потного , голого по пояс тела на морозе [MASK] пар .	шел
Сильней ! - [MASK] Мостовой , краем глаза наблюдая за полем .	просил
У переднего огнем [MASK] пушка .	сверкнула
Что-то [MASK] разведчик .	крикнул
[MASK] рядом испуганное лицо разведчика .	Мелькнуло
В глаза , в сердце мертвой пустотой [MASK] дуло орудия .	глянуло
И в тот же миг перед сощуренными глазами Мостового [MASK] огонь .	сверкнул
И сейчас же перед головой Мостового , слившейся с ружьем , в тот самый момент , как ружье выстрелило по танку , [MASK] огонь .	взлетел
Потом с земли , держа руками окровавленную голову , [MASK] разведчик .	поднялся
За ним [MASK] орудие на высоких колесах , бежал расчет с охапками хвороста , с какими-то жердями , подпихивали , подкладывали , некоторые срывали с себя шинели , стелили под колеса пушки .	шло
А в черном небе , над лощиной , над этими людьми [MASK] светящиеся пули .	неслись
- [MASK] комбат ?	Где
Из-за станины [MASK] командир взвода в шапке , в гимнастерке , с портупеей через плечо , весь новенький , как пряжки на его амуниции .	выскочил
[MASK] командир батареи ?	Где
[MASK] командир батареи ?	Где
- За [MASK] батареи я , лейтенант Званцев ! - докладывал командир взвода , дыша паром , и от его гимнастерки подымался пар .	командира
А [MASK] , позади , еще два орудия , и за спиной Ищенко , как напоминание , что нужно идти туда , под обстрел , дышал разведчик , которого он взял сопровождать себя .	там
И чем ближе [MASK] они , взбираясь по крутому боку оврага , тем сильней накипало в Ищенко раздражение против этого разведчика , свидетеля каждого его шага , каждого движения .	подходили
Там , на поле , под разрывами , под огнем танков [MASK] и умирали ребята , его товарищи , а он здесь , в безопасности , бегал за капитаном с батареи на батарею , и на каждой батарее капитан кричал и тряс пистолетом .	дрались
Товарищ капитан , куда вы ! - не понимая , что случилось , и единственно тревожась за начальника штаба , которого ему было поручено охранять , [MASK] сверху разведчик .	кричал
Оттуда [MASK] длинная молния , позже донесло стук пулеметной очереди .	блеснула
Одного только [MASK] он сейчас страстно : чтобы разведчик замолчал , замолчал наконец , не стонал так громко .	жаждал
В той стороне , куда Званцев вел орудие , [MASK] уже пулеметные трассы , и все там было в этом мгновенно сверкающем , несущемся отовсюду , стремительном огне .	хлестали
Но еще [MASK] щель , еще можно проскочить .	есть
К ним , под гусеницы , пулеметным огнем [MASK] немцы сбившихся в кучу людей .	погонят
И тут из-за поворота лощины , почти от леса , огненным веером [MASK] по орудию пулеметные трассы .	ударили
А по ним в упор [MASK] танк из пулемета , и снова сверкнула его пушка , и снова - разрыв !	бил
[MASK] зенитный пулемет .	Там
Между двумя трассами [MASK] третья струя огненного металла .	возникла
[MASK] немецкий танк .	Горел
И сейчас же над краем оврага , отрезая темное небо , [MASK] светящимся веером пули .	понеслись
Близко [MASK] трактор .	горел
И в этом мутном свете косо [MASK] красная метель .	неслась
Низко , не снижаясь , [MASK] вдогон друг другу стаи огненных пуль : из метели надвигался к краю оврага танк .	пронеслись
[MASK] пушки !	Вон
Около другой [MASK] расчет .	суетился
По ней уже косо , навесным огнем [MASK] пулеметные трассы .	рубили
Почти одновременно [MASK] два взрыва .	ударили
И вместе с ними по красному от пожара снегу [MASK] , вытянутые вперед , их тени .	бежали
Туда , где стояли пушки , уже [MASK] танк .	вышел
От них , сверкая , [MASK] длинные огненные струи , неслись вдоль оврага , сюда .	неслись
На откинутой руке его еще [MASK] пальцы , последним усилием скребли снег , но глаза уже мертво закатились под лоб .	шевелились
По ним вдогонку [MASK] пулеметы , и над согнутыми спинами мгновенно сверкало .	били
И вдруг оттуда в упор [MASK] автоматы .	ударили
Среди деревьев , с шипением впиваясь в стволы , [MASK] расплавленные струи металла .	неслись
И когда взмахивал ею над головой , под мышками [MASK] темные , все увеличивающиеся круги .	обнажались
У солдат от потных спин [MASK] пар , и от земли , там , где пробили мерзлый слой , тоже подымался пар , и она казалась теплой на ощупь .	шел
Все время , пока они работали , южнее , недалеко где-то [MASK] был бой : разрывы снарядов и частая пулеметная и автоматная стрельба .	слышен
Еще гуще [MASK] темнота перед утром .	стала
Двадцать шесть человек [MASK] Васич в лесу .	собрал
По щеке его [MASK] растаявший снег и кровь , телогрейка на груди и колени ватных брюк были мокры .	текли
Еще [MASK] были танки и далеко где-то немецкие голоса , перекликавшиеся по лесу .	слышны
[MASK] с бронетранспортера миномет , и мины , задевая за ветки , рвались в воздухе , как шрапнели .	Бил
Сюда , в глубину леса , пока еще [MASK] редкие пули .	достигали
Где-то еще [MASK] быть люди .	должны
" В области водородной энергетики у России [MASK] два преимущества перед всеми остальными странами - фундаментальная наука и наша компания , которая производит более половины палладия в мире , - сказал на церемонии подписания генеральный директор компании " Норильский никель " Михаил Прохоров .	есть
Конечно , у нас [MASK] печальный опыт .	имеется
" У нас [MASK] не менее восьми крупных организаций , которые активно сотрудничают с частным капиталом , - говорит вице-президент РАН Геннадий Месяц ( лауреат международной энергетической премии " Глобальная энергия " - CNews.ru ) , который будет возглавлять академическую программу по водородной энергетике .	имеется
Сейчас [MASK] исторический момент - работа ученых наконец - то востребована .	наступил
Монополистом на рынке таких мембран [MASK] компания " Дюпон " и стоит этот материал очень дорого .	выступает
Тогда рядом с топливной батареей [MASK] еще одно устройство - топливный процессор , который превращает бензин , спирт , метанол , природный газ или какое иное топливо в водород .	возникает
При наличии такого процессора для водородной энергетики [MASK] любое топливо .	подойдет
Уж очень [MASK] очевидны их близость , сродство .	стали
За первым изгнанием [MASK] другие .	последуют
[MASK] такой конкретной картины у Марка Шагала .	Нет
Как в том же ряду творцов , открытых миру , [MASK] и сам Марк Шагал .	стоит
В то же время нашей промышленности пока [MASK] технологии создания интеллектуальных систем , которые взаимодействуют с окружающей средой и могут приспосабливаться , изменяя свои свойства .	недоступны
Но [MASK] ли у людей наблюдательности и ума , чтобы научиться у природы ?	хватит
В новой печатной схеме [MASK] подвижные части ( она состоит из 144 наборов по 4 сопла в каждом )	отсутствуют
В устройстве [MASK] подвижные части , что позволяет удешевить производство .	отсутствуют
Сегодня среди разработчиков весьма [MASK] точка зрения , что в будущем роботы смогут эффективно действовать только в том случае , если они будут максимально похожи на людей .	популярна
Другими словами , у робота обязательно [MASK] быть ноги ( колеса , гусеницы и прочее не подходят для города ) .	должны
В направлении создания прямоходящих двуногих роботов дальше всех [MASK] ученые из Стенфордского университета .	продвинулись
Примерно так же [MASK] Густав Эйфель , который в 1889 году построил чертеж Эйфелевой башни .	поступил
Другое знаменитое заимствование [MASK] швейцарский инженер Джордж де Местраль в 1955 году .	сделал
В Москве [MASK] Всемирная конференция по изменению климата , многие из участников которой поставили под сомнение не только дальнейшее развитие человеческой цивилизации , но и ее существование .	прошла
Куда больше представителей науки [MASK] беспомощность человечества перед будущим .	беспокоит
Причиной неудачи , по мнению ученого , [MASK] чисто биологический фактор : наличие у всех живых форм , включая человека , избыточной способности к размножению - необходимого условия для устойчивого существования этих форм .	является
[MASK] , по мнению ученого , то , что понимание серьезности угрозы глобальной катастрофы придет только после того , как закончатся сырьевые запасы , и тогда в борьбе за свое дальнейшее существование люди попытаются начать поиск альтернативы .	Печально
До сих пор на [MASK] , где проживает пятая часть населения Земли , есть районы , где не используются традиционные энергетические источники и уже несколько сотен лет культивируются одни и те же земли .	территории
По глубокому убеждению Григоряна , единственным способом изучения динамики развития климата и проблем глобальной экологии сегодня [MASK] быть методы математического моделирования и анализ предшествующих этапов развития природы .	могут
- [MASK] представление , будто необдуманное использование природных ресурсов может продолжаться неограниченно долгое время и без каких-либо последствий .	Существует
Другими словами , у нас [MASK] исторический шанс быть не покорителями природы , а ее детьми " .	есть
И для каждого из них , по мнению Юрия Израэля , [MASK] те или иные погодные проявления .	характерны
[MASK] морозный солнечный день , и ему все нравилось : обилие лыжников и скрип свежего снега , который еще не успели убрать в Москве .	Был
[MASK] и он сам себе : крепкие лыжные ботинки , шерстяные носки почти до колен , толстый мохнатый свитер и австрийская шапочка с козырьком , но больше всего лыжи , прекрасные клееные лыжи , стянутые ремешками .	Нравился
Не [MASK] он был , нет , а просто покоен .	радостен
[MASK] тяжелая пора ссор , ревности , подозрений , недоверия , внезапных телефонных звонков и молчания по телефону , когда слышишь только дыхание , и от этого больно делается сердцу .	Кончилась
[MASK] и ты .	Вот
Какая зима , а ! - [MASK] она , пока он брал билеты .	сказала
Мимо [MASK] скрипучие деревянные , засыпанные снегом платформы .	проносились
На платформах иногда [MASK] фанерные буфеты , выкрашенные в голубое , с железной трубой над крышей , с голубым же дымком из трубы .	попадались
У него одно [MASK] только всегдашнее беспокойство - мысли о лете .	было
Еще с ноября [MASK] он думать и загадывать , как и куда поедет на время своего будущего летнего отпуска .	начинал
[MASK] тогда Москва и асфальт , и всякие процедуры , и юридическая консультация !	Прощай
[MASK] еще богатый рынок , они ходили вместе и выбирали копченое сало , мед , масло , помидоры и огурцы ( дешевизна была баснословная ) .	Был
Какое [MASK] счастье , и еще , наверное , и не такое будет , только бы не было войны !	было
У него [MASK] маленький фруктовый участок с летней дощатой дачкой , а на этой дачке - две кровати , стол , грубые табуретки и чугунная немецкая печка .	был
Один раз по такой дороге в сторону деревни [MASK] черный конь , шерсть его сияла , мышцы переливались , лед и снег брызгали из-под подков , и слышен был дробный хруст и фырканье .	проскакал
Нервно и взлохмаченно [MASK] страшно озабоченная галка , за ней торопилась другая , а вдали ныряла , не выпуская галок из виду , заинтересованная сорока , что то они узнали ?	летела
[MASK] и деловито копошились на торчащем из-под снега татарнике снегири - необыкновенные среди мороза и снега , как тропические птицы , и сухие семена от их крепких , толстых клювов брызгали на снег , ложась дорожкой .	Мурлыкали
Иногда им [MASK] лисий след , который ровной и в то же время извилистой строчкой тянулся . от былья к былью , от кочки к кочке .	попадался
